frequency,avgNoisy,avgData,postFiltering
102.6,228.28665,17.2386,17.351494
102.8,221.73428,16.824633,16.465616
103.0,226.13733,16.63738,15.952328
103.200005,231.45276,16.679243,19.382822
103.4,226.27393,16.871105,16.86889
103.6,225.33685,17.14244,16.32091
103.8,220.094,17.398594,17.4123
104.0,225.60039,17.649,16.549616
104.200005,228.71568,16.989239,16.5513
104.4,227.46725,17.296635,16.294489
104.6,223.25824,17.385275,17.740517
104.8,224.00803,17.408379,18.679773
105.0,225.40067,17.717825,18.127914
105.200005,224.08629,18.357254,18.036926
105.4,230.302,17.928856,17.507658
105.6,227.55078,17.477783,19.60212
105.8,223.30518,17.107697,17.69604
106.0,225.1831,17.280632,18.552275
106.200005,225.3566,17.760775,17.021404
106.4,228.64655,17.602625,18.538181
106.6,228.31007,17.73048,18.428389
106.8,227.72966,17.233522,15.332136
107.0,226.64557,17.703314,17.37703
107.200005,228.01346,17.826042,16.371887
107.4,225.22678,17.502522,17.134762
107.6,229.30086,17.603407,17.552813
107.8,225.54358,17.46563,18.408012
108.0,227.72635,17.214197,18.830544
108.200005,230.76859,17.217176,17.317186
108.4,228.56259,17.175247,18.01874
108.6,231.57326,17.42336,16.897995
108.8,232.50745,18.675415,18.427069
109.0,231.58615,19.156952,21.781027
109.200005,236.10976,19.018337,19.743269
109.4,233.87184,19.254204,21.192444
109.6,229.36642,18.776287,20.062986
109.8,238.85277,18.123302,19.431055
110.0,234.17484,17.942354,19.431795
110.200005,233.40176,18.094067,19.971699
110.4,227.90912,18.281778,17.33854
110.6,237.1159,18.707392,17.190893
110.8,234.03214,19.07068,20.35279
111.0,237.26718,18.69157,19.998102
111.200005,231.47409,18.444664,21.216166
111.4,235.64206,18.114527,20.085642
111.6,235.14034,17.90223,19.119377
111.8,233.70554,17.335077,18.704565
112.0,233.54721,16.88245,19.066523
112.200005,235.98602,17.421095,16.690388
112.4,237.47531,17.679195,18.7606
112.6,230.35144,18.053638,20.04748
112.8,232.2746,17.544899,18.857754
113.0,232.58368,17.585024,20.38022
113.200005,234.37787,17.840658,19.398083
113.4,233.51611,17.922924,18.363358
113.6,231.00266,18.101284,20.607073
113.8,231.23032,18.104937,20.785606
114.0,235.02823,18.136612,18.263472
114.200005,239.85995,18.09973,19.040726
114.4,236.36783,18.112186,19.32352
114.6,236.48953,18.527569,19.182425
114.8,239.78903,18.614191,18.27052
115.0,243.28404,19.36639,21.045736
115.200005,248.87396,19.551693,20.504953
115.4,241.96198,19.455484,20.880434
115.6,238.17264,19.419416,20.749136
115.8,238.19438,18.755623,20.695961
116.0,234.88026,17.772205,18.288633
116.200005,231.23909,17.647028,17.906326
116.4,235.87167,18.550995,17.04568
116.6,244.94998,18.58355,18.621618
116.8,239.97395,18.885038,20.416594
117.0,246.26755,19.293983,20.247952
117.200005,240.36255,18.62238,20.863995
117.4,235.07938,18.318089,17.36661
117.6,239.27342,18.451925,18.811066
117.8,246.97989,18.573997,22.413568
118.0,237.05751,18.598661,17.892109
118.200005,238.03796,18.904684,19.430233
118.4,235.68828,18.423649,19.47119
118.6,237.53174,18.13487,18.314844
118.8,236.38315,17.8611,21.429468
119.0,240.16937,17.656984,17.615751
119.200005,241.80042,18.037064,20.29216
119.4,247.71625,18.82058,18.777878
119.6,242.44617,18.469444,18.48787
119.8,265.72183,18.462214,21.86788
120.0,341.25763,18.377337,11.395931
120.200005,258.27988,18.484816,19.629532
120.4,254.00623,18.073858,21.638197
120.6,242.61981,17.802967,20.405195
120.8,242.91426,17.793049,18.6461
121.0,244.65692,18.228724,18.339813
121.200005,246.04562,18.304184,20.347118
121.4,246.9605,18.384693,19.71213
121.6,248.80524,18.403975,17.67839
121.8,241.74472,18.341211,21.584766
122.0,245.81332,18.427156,18.481773
122.200005,236.85843,18.373999,20.477722
122.4,242.68097,18.2712,19.748283
122.6,240.89825,18.011185,19.035717
